recordID,decimalLatitude,decimalLongitude,eventDate,family,scientificName,taxonConceptID,dataResourceName,basisOfRecord,recordedBy,ABS_SA2_region_2016
d30e9204-3d31-49dd-8eaf-14211833fab9,-35.90740003,149.046,,Scincidae,Eulamprus tympanum,urn:lsid:biodiversity.org.au:afd.taxon:48f412ea-5084-4fb1-8697-ad1b7a1c2a7f,ACT Wildlife Atlas,UNKNOWN,,NAMADGI
84691aeb-0185-44c2-9da3-4f75234a8992,-35.8936,149.036,2001-11-01T13:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Museums Victoria provider for OZCAM,MATERIAL_SAMPLE,Monash University,NAMADGI
875008d8-92db-49ec-9473-12269130308f,-35.8936,149.036,2001-11-01T13:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Museums Victoria provider for OZCAM,MATERIAL_SAMPLE,Monash University,NAMADGI
f691c807-cedc-4a0c-96ab-888203546c01,-35.8936,149.036,2001-11-01T13:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Museums Victoria provider for OZCAM,MATERIAL_SAMPLE,Monash University,NAMADGI
9526022f-b99e-4135-b501-a38089ebeb11,-35.89281,148.97675,2018-02-02T13:00:00Z,Scincidae,Hemiergis,urn:lsid:biodiversity.org.au:afd.taxon:96f75329-e2a7-4d71-ab26-ffc014b91183,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,COOMA REGION
6bdb7ca4-9c31-4358-aa34-3bdfb96eae7f,-35.89281,148.97675,2018-02-02T13:00:00Z,Scincidae,Hemiergis,urn:lsid:biodiversity.org.au:afd.taxon:96f75329-e2a7-4d71-ab26-ffc014b91183,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,COOMA REGION
202a3533-8adb-4a67-9fd4-102d1d959ded,-35.89281,148.97675,2018-02-02T13:00:00Z,Scincidae,Hemiergis,urn:lsid:biodiversity.org.au:afd.taxon:96f75329-e2a7-4d71-ab26-ffc014b91183,Australian National Wildlife Collection provider for OZCAM,MATERIAL_SAMPLE,,COOMA REGION
274947c8-e7f3-40d1-b790-d5aac7addbd6,-35.89281,148.97675,2018-02-02T13:00:00Z,Scincidae,Hemiergis,urn:lsid:biodiversity.org.au:afd.taxon:96f75329-e2a7-4d71-ab26-ffc014b91183,Australian National Wildlife Collection provider for OZCAM,MATERIAL_SAMPLE,,COOMA REGION
4a644d1e-6888-4846-b157-63212040d669,-35.89243,148.97674,2018-02-02T13:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Australian National Wildlife Collection provider for OZCAM,MATERIAL_SAMPLE,,COOMA REGION
784aab08-89b6-4842-aaff-7c87403017df,-35.89243,148.97674,2018-02-02T13:00:00Z,Scincidae,Pseudemoia entrecasteauxii,urn:lsid:biodiversity.org.au:afd.taxon:1533ed80-cb92-45e0-bda1-1801f995fcf7,Australian National Wildlife Collection provider for OZCAM,MATERIAL_SAMPLE,,COOMA REGION
a5aa87a5-b946-4d60-b3d4-6a9b342e2d95,-35.89243,148.97674,2018-02-02T13:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,COOMA REGION
8f5530db-1a06-4e1e-9f1c-b149d8bcf898,-35.89243,148.97674,2018-02-02T13:00:00Z,Scincidae,Pseudemoia entrecasteauxii,urn:lsid:biodiversity.org.au:afd.taxon:1533ed80-cb92-45e0-bda1-1801f995fcf7,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,COOMA REGION
e89a1d31-0341-449f-be93-b12d60616557,-35.89213,148.9751,2018-02-02T13:00:00Z,Scincidae,Acritoscincus duperreyi,urn:lsid:biodiversity.org.au:afd.taxon:85fee228-86fd-4d57-87d7-b34fcfa575e2,Australian National Wildlife Collection provider for OZCAM,MATERIAL_SAMPLE,,NAMADGI
65995bdc-1f9b-49f8-9686-bc59a87019bd,-35.89213,148.9751,2018-02-02T13:00:00Z,Scincidae,Acritoscincus duperreyi,urn:lsid:biodiversity.org.au:afd.taxon:85fee228-86fd-4d57-87d7-b34fcfa575e2,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,NAMADGI
88478b84-7204-4aae-bba4-394050bf320f,-35.89140003,148.982,,Elapidae,Pseudechis porphyriacus,urn:lsid:biodiversity.org.au:afd.taxon:c1d2d6c3-1123-4461-8c07-3254ea76f391,ACT Wildlife Atlas,UNKNOWN,,NAMADGI
647c6817-859b-4437-92d3-5840af17f2fb,-35.89136,148.97722,2018-02-02T13:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Australian National Wildlife Collection provider for OZCAM,PRESERVED_SPECIMEN,,NAMADGI
cc98f77d-dd03-44af-b0ea-1d4eb2e7233c,-35.89136,148.97722,2018-02-02T13:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Australian National Wildlife Collection provider for OZCAM,MATERIAL_SAMPLE,,NAMADGI
7d1b3568-3b72-4f07-a13e-2ac245385fe3,-35.8908,148.977,2001-10-27T14:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Museums Victoria provider for OZCAM,MATERIAL_SAMPLE,Monash University,NAMADGI
a8322072-2b1b-44d1-96d3-4e2261e21a7b,-35.8908,148.977,2001-10-27T14:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Museums Victoria provider for OZCAM,MATERIAL_SAMPLE,Monash University,NAMADGI
1399faf5-afef-4766-aa06-abe38ea37fe6,-35.8908,148.977,2001-10-27T14:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Museums Victoria provider for OZCAM,MATERIAL_SAMPLE,Monash University,NAMADGI
c3a4e049-79f5-432b-a298-9dc8e49b56c2,-35.8908,148.977,2001-10-27T14:00:00Z,Scincidae,Liopholis whitii,urn:lsid:biodiversity.org.au:afd.taxon:ae2be63c-f203-4545-9c9d-568e157bece4,Museums Victoria provider for OZCAM,MATERIAL_SAMPLE,Monash University,NAMADGI
